app_id,app_name,theme_id,theme_label,category,n_reviews,theme_share_in_app,rating_gap,share_low_1_2,is_critical,app_priority_score,within_app_rank,priority_bucket,recommended_owner,recommended_action
com.king.candycrushsodasaga,Candy Crush Soda Saga,crash_bug,Crash & Bug,Stability,18,0.027692,1.467692,0.5,1,0.030482495148000003,2,P0,Engineering,Prioritize crash triage and top-stack fixes in next release.
com.king.candycrushsodasaga,Candy Crush Soda Saga,pay_to_win,Pay-to-win / Greedy,Monetization,5,0.007692,2.567692,1.0,0,0.019750686864,3,P1,Product + Economy,"Rebalance economy pressure (moves, boosters, paywall pacing)."
com.king.candycrushsodasaga,Candy Crush Soda Saga,purchase_issue,Purchase Issue,Monetization,2,0.003077,2.967692,1.0,1,0.013697382426,4,P0,Product + Economy,Fix purchase failure/refund edge-cases and monitor payment errors.
com.king.candycrushsodasaga,Candy Crush Soda Saga,loading_performance,Loading & Performance,Performance,9,0.013846,1.523248,0.555556,0,0.01171717148928525,5,P1,Engineering,Optimize cold-start/loading path and reduce lag spikes.
com.king.candycrushsodasaga,Candy Crush Soda Saga,update_issue,Update Issue,Operations,3,0.004615,1.634359,0.666667,0,0.005028380370855595,6,P2,LiveOps,Add pre-release regression checklist and staged rollout guardrails.
com.king.candycrushsodasaga,Candy Crush Soda Saga,ads_volume,Ads Volume,Monetization,1,0.001538,2.967692,1.0,0,0.004564310296,7,P2,Product + Economy,"Reduce ad frequency, especially in early progression and fail loops."
com.king.candycrushsodasaga,Candy Crush Soda Saga,algorithm_fairness,Algorithm Fairness,Game Design,2,0.003077,1.967692,0.5,0,0.0030272941419999997,8,P3,Game Design,Audit RNG fairness perception and expose clearer game feedback.
com.king.candycrushsodasaga,Candy Crush Soda Saga,rewards_energy,Rewards & Energy,Game Design,1,0.001538,0.967692,0.0,0,0.0,9,P3,Game Design,Adjust rewards/energy pacing to reduce frustration loops.
air.com.sgn.cookiejam.gp,Cookie Jam,crash_bug,Crash & Bug,Stability,42,0.047673,1.129344,0.357143,1,0.02884244895411782,1,P0,Engineering,Prioritize crash triage and top-stack fixes in next release.
air.com.sgn.cookiejam.gp,Cookie Jam,ads_volume,Ads Volume,Monetization,20,0.022701,1.181725,0.45,0,0.012071852651249998,2,P1,Product + Economy,"Reduce ad frequency, especially in early progression and fail loops."
air.com.sgn.cookiejam.gp,Cookie Jam,pay_to_win,Pay-to-win / Greedy,Monetization,7,0.007946,2.081725,0.714286,0,0.0118152810475391,3,P1,Product + Economy,"Rebalance economy pressure (moves, boosters, paywall pacing)."
air.com.sgn.cookiejam.gp,Cookie Jam,loading_performance,Loading & Performance,Performance,31,0.035187,0.888177,0.354839,0,0.011089529237405062,4,P1,Engineering,Optimize cold-start/loading path and reduce lag spikes.
air.com.sgn.cookiejam.gp,Cookie Jam,update_issue,Update Issue,Operations,4,0.00454,1.831725,0.5,0,0.00415801575,5,P2,LiveOps,Add pre-release regression checklist and staged rollout guardrails.
air.com.sgn.cookiejam.gp,Cookie Jam,algorithm_fairness,Algorithm Fairness,Game Design,3,0.003405,1.415059,0.333333,0,0.0016060903589080351,6,P3,Game Design,Audit RNG fairness perception and expose clearer game feedback.
air.com.sgn.cookiejam.gp,Cookie Jam,difficulty_progression,Difficulty & Progression,Game Design,7,0.007946,0.224582,0.0,0,0.0,7,P3,Game Design,Tune progression curve and reduce hard-level clustering.
com.disney.emojimatch_goo,Disney Emoji Blitz,crash_bug,Crash & Bug,Stability,55,0.05618,1.366905,0.545455,1,0.06283046200412926,1,P0,Engineering,Prioritize crash triage and top-stack fixes in next release.
com.disney.emojimatch_goo,Disney Emoji Blitz,purchase_issue,Purchase Issue,Monetization,8,0.008172,2.339632,0.875,1,0.025094307923999998,2,P0,Product + Economy,Fix purchase failure/refund edge-cases and monitor payment errors.
com.disney.emojimatch_goo,Disney Emoji Blitz,loading_performance,Loading & Performance,Performance,32,0.032686,1.245882,0.5,0,0.020361449525999997,3,P1,Engineering,Optimize cold-start/loading path and reduce lag spikes.
com.disney.emojimatch_goo,Disney Emoji Blitz,pay_to_win,Pay-to-win / Greedy,Monetization,22,0.022472,1.703269,0.5,0,0.019137930483999997,4,P1,Product + Economy,"Rebalance economy pressure (moves, boosters, paywall pacing)."
com.disney.emojimatch_goo,Disney Emoji Blitz,algorithm_fairness,Algorithm Fairness,Game Design,6,0.006129,1.506299,0.5,0,0.0046160532855,5,P2,Game Design,Audit RNG fairness perception and expose clearer game feedback.
com.disney.emojimatch_goo,Disney Emoji Blitz,update_issue,Update Issue,Operations,7,0.00715,0.982489,0.428571,0,0.0030106239965158495,6,P3,LiveOps,Add pre-release regression checklist and staged rollout guardrails.
com.disney.emojimatch_goo,Disney Emoji Blitz,ads_volume,Ads Volume,Monetization,2,0.002043,-0.160368,0.0,0,0.0,7,P3,Product + Economy,"Reduce ad frequency, especially in early progression and fail loops."
com.disney.emojimatch_goo,Disney Emoji Blitz,difficulty_progression,Difficulty & Progression,Game Design,7,0.00715,-0.303225,0.142857,0,0.0,7,P3,Game Design,Tune progression curve and reduce hard-level clustering.
com.playrix.gardenscapes,Gardenscapes,crash_bug,Crash & Bug,Stability,12,0.019048,1.73254,0.833333,1,0.04125176089928903,1,P0,Engineering,Prioritize crash triage and top-stack fixes in next release.
com.playrix.gardenscapes,Gardenscapes,pay_to_win,Pay-to-win / Greedy,Monetization,12,0.019048,1.98254,0.833333,0,0.03146950567885936,2,P0,Product + Economy,"Rebalance economy pressure (moves, boosters, paywall pacing)."
com.playrix.gardenscapes,Gardenscapes,algorithm_fairness,Algorithm Fairness,Game Design,7,0.011111,2.48254,1.0,0,0.02758350194,3,P0,Game Design,Audit RNG fairness perception and expose clearer game feedback.
com.playrix.gardenscapes,Gardenscapes,update_issue,Update Issue,Operations,12,0.019048,1.815873,0.75,0,0.025941561678000002,4,P0,LiveOps,Add pre-release regression checklist and staged rollout guardrails.
com.playrix.gardenscapes,Gardenscapes,difficulty_progression,Difficulty & Progression,Game Design,25,0.039683,1.04254,0.6,0,0.024822668892000004,5,P0,Game Design,Tune progression curve and reduce hard-level clustering.
com.playrix.gardenscapes,Gardenscapes,loading_performance,Loading & Performance,Performance,18,0.028571,1.315873,0.611111,0,0.022975211506743615,6,P1,Engineering,Optimize cold-start/loading path and reduce lag spikes.
com.playrix.gardenscapes,Gardenscapes,purchase_issue,Purchase Issue,Monetization,3,0.004762,1.149206,0.666667,1,0.005472521708259485,7,P0,Product + Economy,Fix purchase failure/refund edge-cases and monitor payment errors.
com.playrix.gardenscapes,Gardenscapes,liveops_events,LiveOps & Events,Operations,1,0.001587,-1.51746,0.0,0,0.0,8,P3,LiveOps,Improve event QA and tournament stability before campaign launch.
com.playrix.homescapes,Homescapes,difficulty_progression,Difficulty & Progression,Game Design,26,0.03869,1.632097,0.653846,0,0.041287650277948784,1,P0,Game Design,Tune progression curve and reduce hard-level clustering.
com.playrix.homescapes,Homescapes,crash_bug,Crash & Bug,Stability,13,0.019345,1.901328,0.615385,1,0.033951889059917396,2,P0,Engineering,Prioritize crash triage and top-stack fixes in next release.
com.playrix.homescapes,Homescapes,pay_to_win,Pay-to-win / Greedy,Monetization,6,0.008929,1.657738,0.666667,0,0.009867966668647534,3,P2,Product + Economy,"Rebalance economy pressure (moves, boosters, paywall pacing)."
com.playrix.homescapes,Homescapes,purchase_issue,Purchase Issue,Monetization,3,0.004464,1.491071,0.666667,1,0.006656144272070472,4,P0,Product + Economy,Fix purchase failure/refund edge-cases and monitor payment errors.
com.playrix.homescapes,Homescapes,loading_performance,Loading & Performance,Performance,29,0.043155,0.548543,0.275862,0,0.00653030820604323,5,P2,Engineering,Optimize cold-start/loading path and reduce lag spikes.
com.playrix.homescapes,Homescapes,algorithm_fairness,Algorithm Fairness,Game Design,3,0.004464,2.157738,0.666667,0,0.0064214314987141455,6,P2,Game Design,Audit RNG fairness perception and expose clearer game feedback.
com.playrix.homescapes,Homescapes,update_issue,Update Issue,Operations,5,0.00744,1.424405,0.6,0,0.00635854392,7,P2,LiveOps,Add pre-release regression checklist and staged rollout guardrails.
com.playrix.homescapes,Homescapes,ads_volume,Ads Volume,Monetization,1,0.001488,2.824405,1.0,0,0.00420271464,8,P2,Product + Economy,"Reduce ad frequency, especially in early progression and fail loops."
dk.tactile.lilysgarden,Lily's Garden,crash_bug,Crash & Bug,Stability,68,0.068205,1.410673,0.617647,1,0.08914031465448953,1,P0,Engineering,Prioritize crash triage and top-stack fixes in next release.
dk.tactile.lilysgarden,Lily's Garden,loading_performance,Loading & Performance,Performance,52,0.052156,1.099587,0.557692,0,0.03198366942282783,2,P0,Engineering,Optimize cold-start/loading path and reduce lag spikes.
dk.tactile.lilysgarden,Lily's Garden,pay_to_win,Pay-to-win / Greedy,Monetization,9,0.009027,1.734203,0.777778,0,0.012175842741811218,3,P1,Product + Economy,"Rebalance economy pressure (moves, boosters, paywall pacing)."
dk.tactile.lilysgarden,Lily's Garden,update_issue,Update Issue,Operations,28,0.028084,0.984203,0.428571,0,0.011845855462132692,4,P1,LiveOps,Add pre-release regression checklist and staged rollout guardrails.
dk.tactile.lilysgarden,Lily's Garden,purchase_issue,Purchase Issue,Monetization,2,0.002006,2.734203,1.0,1,0.008227216827,5,P0,Product + Economy,Fix purchase failure/refund edge-cases and monitor payment errors.
dk.tactile.lilysgarden,Lily's Garden,difficulty_progression,Difficulty & Progression,Game Design,26,0.026078,0.541895,0.346154,0,0.00489168833908274,6,P2,Game Design,Tune progression curve and reduce hard-level clustering.
dk.tactile.lilysgarden,Lily's Garden,algorithm_fairness,Algorithm Fairness,Game Design,2,0.002006,2.234203,1.0,0,0.004481811218,7,P2,Game Design,Audit RNG fairness perception and expose clearer game feedback.
dk.tactile.lilysgarden,Lily's Garden,ads_volume,Ads Volume,Monetization,2,0.002006,0.734203,0.5,0,0.000736405609,8,P3,Product + Economy,"Reduce ad frequency, especially in early progression and fail loops."
dk.tactile.lilysgarden,Lily's Garden,account_login,Account & Login,Account,2,0.002006,-0.265797,0.0,1,0.0,9,P3,Platform/Backend,Stabilize login/sync flows and progress restoration paths.
dk.tactile.mansionstory,Penny & Flo,crash_bug,Crash & Bug,Stability,63,0.063895,1.019527,0.396825,1,0.03877536459662043,1,P0,Engineering,Prioritize crash triage and top-stack fixes in next release.
dk.tactile.mansionstory,Penny & Flo,ads_volume,Ads Volume,Monetization,16,0.016227,1.752662,0.625,0,0.01777527892125,2,P1,Product + Economy,"Reduce ad frequency, especially in early progression and fail loops."
dk.tactile.mansionstory,Penny & Flo,pay_to_win,Pay-to-win / Greedy,Monetization,8,0.008114,2.315162,0.875,0,0.0164370714095,3,P1,Product + Economy,"Rebalance economy pressure (moves, boosters, paywall pacing)."
dk.tactile.mansionstory,Penny & Flo,loading_performance,Loading & Performance,Performance,33,0.033469,0.909859,0.393939,0,0.011996258346850868,4,P1,Engineering,Optimize cold-start/loading path and reduce lag spikes.
dk.tactile.mansionstory,Penny & Flo,difficulty_progression,Difficulty & Progression,Game Design,30,0.030426,0.973496,0.4,0,0.011847835718400002,5,P1,Game Design,Tune progression curve and reduce hard-level clustering.
dk.tactile.mansionstory,Penny & Flo,purchase_issue,Purchase Issue,Monetization,4,0.004057,2.440162,0.75,1,0.01113720438825,6,P0,Product + Economy,Fix purchase failure/refund edge-cases and monitor payment errors.
dk.tactile.mansionstory,Penny & Flo,update_issue,Update Issue,Operations,11,0.011156,1.303799,0.545455,0,0.00793374205362802,7,P2,LiveOps,Add pre-release regression checklist and staged rollout guardrails.
dk.tactile.mansionstory,Penny & Flo,account_login,Account & Login,Account,2,0.002028,1.940162,0.5,1,0.0029509864019999993,8,P0,Platform/Backend,Stabilize login/sync flows and progress restoration paths.
dk.tactile.mansionstory,Penny & Flo,algorithm_fairness,Algorithm Fairness,Game Design,3,0.003043,1.273496,0.666667,0,0.002583500177082776,9,P3,Game Design,Audit RNG fairness perception and expose clearer game feedback.
com.dreamgames.royalkingdom,Royal Kingdom,pay_to_win,Pay-to-win / Greedy,Monetization,14,0.016298,1.274655,0.928571,0,0.019290437773145493,1,P1,Product + Economy,"Rebalance economy pressure (moves, boosters, paywall pacing)."
com.dreamgames.royalkingdom,Royal Kingdom,ads_volume,Ads Volume,Monetization,21,0.024447,0.917512,0.857143,0,0.01922607394491655,2,P1,Product + Economy,"Reduce ad frequency, especially in early progression and fail loops."
com.dreamgames.royalkingdom,Royal Kingdom,difficulty_progression,Difficulty & Progression,Game Design,13,0.015134,0.565864,0.769231,0,0.006587529496258257,3,P2,Game Design,Tune progression curve and reduce hard-level clustering.
com.dreamgames.royalkingdom,Royal Kingdom,algorithm_fairness,Algorithm Fairness,Game Design,3,0.003492,1.155607,1.0,0,0.004035379644,4,P2,Game Design,Audit RNG fairness perception and expose clearer game feedback.
com.dreamgames.royalkingdom,Royal Kingdom,ads_quality,Ads Quality,Monetization,2,0.002328,1.488941,1.0,0,0.0034662546480000007,5,P3,Product + Economy,Block low-quality ad creatives and tighten ad network filters.
com.dreamgames.royalkingdom,Royal Kingdom,loading_performance,Loading & Performance,Performance,17,0.01979,0.253647,0.647059,0,0.0032480253228836698,6,P3,Engineering,Optimize cold-start/loading path and reduce lag spikes.
com.dreamgames.royalkingdom,Royal Kingdom,update_issue,Update Issue,Operations,4,0.004657,0.238941,0.5,0,0.0005563741185,7,P3,LiveOps,Add pre-release regression checklist and staged rollout guardrails.
com.dreamgames.royalkingdom,Royal Kingdom,crash_bug,Crash & Bug,Stability,3,0.003492,-0.511059,0.333333,1,0.0,8,P3,Engineering,Prioritize crash triage and top-stack fixes in next release.
com.dreamgames.royalmatch,Royal Match,pay_to_win,Pay-to-win / Greedy,Monetization,22,0.032164,1.874402,0.772727,0,0.04658637086574565,1,P0,Product + Economy,"Rebalance economy pressure (moves, boosters, paywall pacing)."
com.dreamgames.royalmatch,Royal Match,difficulty_progression,Difficulty & Progression,Game Design,18,0.026316,1.55117,0.777778,0,0.031749356631242155,2,P0,Game Design,Tune progression curve and reduce hard-level clustering.
com.dreamgames.royalmatch,Royal Match,algorithm_fairness,Algorithm Fairness,Game Design,8,0.011696,2.078947,1.0,0,0.024315364112,3,P0,Game Design,Audit RNG fairness perception and expose clearer game feedback.
com.dreamgames.royalmatch,Royal Match,crash_bug,Crash & Bug,Stability,7,0.010234,1.757519,0.857143,1,0.023125438856239165,4,P0,Engineering,Prioritize crash triage and top-stack fixes in next release.
com.dreamgames.royalmatch,Royal Match,loading_performance,Loading & Performance,Performance,18,0.026316,1.106725,0.611111,0,0.017798348213936097,5,P1,Engineering,Optimize cold-start/loading path and reduce lag spikes.
com.dreamgames.royalmatch,Royal Match,update_issue,Update Issue,Operations,2,0.002924,2.328947,1.0,0,0.0068098410279999995,6,P2,LiveOps,Add pre-release regression checklist and staged rollout guardrails.
com.dreamgames.royalmatch,Royal Match,ads_volume,Ads Volume,Monetization,4,0.005848,0.828947,0.25,0,0.001211920514,7,P3,Product + Economy,"Reduce ad frequency, especially in early progression and fail loops."
com.dreamgames.royalmatch,Royal Match,liveops_events,LiveOps & Events,Operations,1,0.001462,-0.671053,0.0,0,0.0,8,P3,LiveOps,Improve event QA and tournament stability before campaign launch.
net.peakgames.toonblast,Toon Blast,pay_to_win,Pay-to-win / Greedy,Monetization,19,0.024142,2.138367,0.947368,0,0.048907357739807956,1,P0,Product + Economy,"Rebalance economy pressure (moves, boosters, paywall pacing)."
net.peakgames.toonblast,Toon Blast,crash_bug,Crash & Bug,Stability,28,0.035578,1.36581,0.642857,1,0.046857321046545386,2,P0,Engineering,Prioritize crash triage and top-stack fixes in next release.
net.peakgames.toonblast,Toon Blast,purchase_issue,Purchase Issue,Monetization,7,0.008895,1.401525,0.714286,1,0.013357039137456374,3,P0,Product + Economy,Fix purchase failure/refund edge-cases and monitor payment errors.
net.peakgames.toonblast,Toon Blast,loading_performance,Loading & Performance,Performance,19,0.024142,0.875209,0.578947,0,0.012232742344891065,4,P1,Engineering,Optimize cold-start/loading path and reduce lag spikes.
net.peakgames.toonblast,Toon Blast,algorithm_fairness,Algorithm Fairness,Game Design,4,0.005083,2.401525,1.0,0,0.012206951575,5,P1,Game Design,Audit RNG fairness perception and expose clearer game feedback.
net.peakgames.toonblast,Toon Blast,difficulty_progression,Difficulty & Progression,Game Design,15,0.01906,0.868191,0.6,0,0.009928632276,6,P2,Game Design,Tune progression curve and reduce hard-level clustering.
net.peakgames.toonblast,Toon Blast,update_issue,Update Issue,Operations,2,0.002541,0.401525,0.5,0,0.0005101375125,7,P3,LiveOps,Add pre-release regression checklist and staged rollout guardrails.
net.peakgames.toonblast,Toon Blast,account_login,Account & Login,Account,2,0.002541,-0.098475,0.0,1,0.0,8,P3,Platform/Backend,Stabilize login/sync flows and progress restoration paths.
net.peakgames.amy,Toy Blast,crash_bug,Crash & Bug,Stability,19,0.025333,1.572211,0.631579,1,0.03773257065669642,1,P0,Engineering,Prioritize crash triage and top-stack fixes in next release.
net.peakgames.amy,Toy Blast,loading_performance,Loading & Performance,Performance,19,0.025333,1.572211,0.578947,0,0.023058776583750062,2,P1,Engineering,Optimize cold-start/loading path and reduce lag spikes.
net.peakgames.amy,Toy Blast,algorithm_fairness,Algorithm Fairness,Game Design,6,0.008,2.388,0.833333,0,0.015919993631999998,3,P1,Game Design,Audit RNG fairness perception and expose clearer game feedback.
net.peakgames.amy,Toy Blast,pay_to_win,Pay-to-win / Greedy,Monetization,5,0.006667,2.488,0.8,0,0.013269996800000001,4,P1,Product + Economy,"Rebalance economy pressure (moves, boosters, paywall pacing)."
net.peakgames.amy,Toy Blast,difficulty_progression,Difficulty & Progression,Game Design,14,0.018667,0.959429,0.5,0,0.008954830571499999,5,P2,Game Design,Tune progression curve and reduce hard-level clustering.
net.peakgames.amy,Toy Blast,purchase_issue,Purchase Issue,Monetization,1,0.001333,2.888,1.0,1,0.005774556,6,P0,Product + Economy,Fix purchase failure/refund edge-cases and monitor payment errors.
net.peakgames.amy,Toy Blast,ads_volume,Ads Volume,Monetization,4,0.005333,1.388,0.5,0,0.003701102,7,P2,Product + Economy,"Reduce ad frequency, especially in early progression and fail loops."
net.peakgames.amy,Toy Blast,update_issue,Update Issue,Operations,4,0.005333,1.138,0.25,0,0.0015172385,8,P3,LiveOps,Add pre-release regression checklist and staged rollout guardrails.
